plate	position	score	well	wellAnno	finalWellAnno	raw_r1_ch1	raw_r2_ch1	raw_r3_ch1	raw_r4_ch1	raw_r5_ch1	median_ch1	average_ch1	raw/PlateMedian_r1_ch1	raw/PlateMedian_r2_ch1	raw/PlateMedian_r3_ch1	raw/PlateMedian_r4_ch1	raw/PlateMedian_r5_ch1	normalized_r1_ch1	normalized_r2_ch1	normalized_r3_ch1	normalized_r4_ch1	normalized_r5_ch1	PlateName	drug1	concdrug1.micro_M.	drug2	concdrug2.micro_M.	GeneID
1	80	2	D08	sample	sample	589661	853728	1266185	1365241	1109636	1109636	1036890.2	0.399	0.53	0.761	1.08	0.553	0.801	0.86	0.934	1.05	0.869	1	Disulfiram	0.078125	U0126	0.078125	Disulfiram_0.078125_U0126_0.078125
1	358	2	O22	sample	sample	830566	802784	589111	1391283	1756352	830566	1074019.2	0.562	0.498	0.354	1.1	0.875	0.871	0.848	0.776	1.054	0.962	1	AKTi VIII	10	DMSO	0	AKTi VIII_10_DMSO_10
2	24	2	A24	sample	sample	1318069	1235960	1185003	NA	NA	1235960	1246344	0.655	0.658	0.612	NA	NA	0.896	0.892	0.882	NA	NA	2	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	75	1.98	D03	sample	sample	1396625	1190383	1174384	NA	NA	1190383	1253797.33333333	0.694	0.634	0.607	NA	NA	0.908	0.884	0.88	NA	NA	2	Bendamustine	10	U0126	10	Bendamustine_10_U0126_10
2	272	1.97	L08	sample	sample	1181256	1344815	1233602	NA	NA	1233602	1253224.33333333	0.587	0.716	0.638	NA	NA	0.873	0.91	0.89	NA	NA	2	Disulfiram	0.078125	AKTi VIII	0.078125	Disulfiram_0.078125_AKTi VIII_0.078125
2	308	1.93	M20	sample	sample	1348763	1171583	1281161	NA	NA	1281161	1267169	0.67	0.624	0.662	NA	NA	0.901	0.88	0.898	NA	NA	2	Disulfiram	5	WORT	5	Disulfiram_5_WORT_5
2	280	1.91	L16	sample	sample	1323364	1190895	1307044	NA	NA	1307044	1273767.66666667	0.658	0.634	0.676	NA	NA	0.897	0.884	0.902	NA	NA	2	Disulfiram	1.25	AKTi VIII	1.25	Disulfiram_1.25_AKTi VIII_1.25
1	27	1.89	B03	sample	sample	756321	875282	1055218	1138861	1234210	1055218	1011978.4	0.512	0.543	0.634	0.9	0.615	0.852	0.865	0.897	1.012	0.891	1	Bendamustine	10	DMSO	0	Bendamustine_10_DMSO_10
1	236	1.88	J20	sample	sample	1080233	938140	1109770	1254089	757240	1080233	1027894.4	0.731	0.582	0.667	0.991	0.377	0.925	0.88	0.907	1.032	0.792	1	Disulfiram	5	DMSO	0	Disulfiram_5_DMSO_5
2	234	1.83	J18	sample	sample	1131466	1232919	1562507	NA	NA	1232919	1308964	0.562	0.657	0.808	NA	NA	0.864	0.891	0.94	NA	NA	2	Disulfiram	2.5	DMSO	0	Disulfiram_2.5_DMSO_2.5
1	233	1.82	J17	sample	sample	910765	686944	811940	1594739	1609109	910765	1122699.4	0.616	0.426	0.488	1.26	0.802	0.89	0.816	0.843	1.083	0.944	1	Disulfiram	0.078125	DMSO	0	Disulfiram_0.078125_DMSO_0.078125
1	101	1.8	E05	sample	sample	832981	1152023	1007283	390210	1452307	1007283	966960.8	0.564	0.715	0.605	0.308	0.724	0.871	0.922	0.887	0.786	0.924	1	Disulfiram	5	PD	5	Disulfiram_5_PD_5
2	293	1.79	M05	sample	sample	1352369	1147720	1440774	NA	NA	1352369	1313621	0.672	0.611	0.745	NA	NA	0.901	0.876	0.923	NA	NA	2	Disulfiram	5	WORT	5	Disulfiram_5_WORT_5
1	234	1.79	J18	sample	sample	1070553	958769	732250	1054577	1303151	1054577	1023860	0.724	0.595	0.44	0.833	0.65	0.923	0.884	0.821	0.996	0.902	1	Disulfiram	2.5	DMSO	0	Disulfiram_2.5_DMSO_2.5
2	305	1.79	M17	sample	sample	977777	1588707	1422147	NA	NA	1422147	1329543.66666667	0.486	0.846	0.735	NA	NA	0.833	0.945	0.92	NA	NA	2	Disulfiram	0.078125	WORT	0.078125	Disulfiram_0.078125_WORT_0.078125
2	225	1.77	J09	sample	sample	1150695	1297028	1518910	NA	NA	1297028	1322211	0.572	0.691	0.785	NA	NA	0.867	0.902	0.934	NA	NA	2	Disulfiram	1.25	DMSO	0	Disulfiram_1.25_DMSO_1.25
2	20	1.65	A20	sample	sample	1515251	1304622	1239240	NA	NA	1304622	1353037.66666667	0.753	0.695	0.64	NA	NA	0.925	0.903	0.891	NA	NA	2	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	221	1.63	J05	sample	sample	1449902	1217382	1417865	NA	NA	1417865	1361716.33333333	0.721	0.648	0.733	NA	NA	0.916	0.889	0.919	NA	NA	2	Disulfiram	5	DMSO	0	Disulfiram_5_DMSO_5
2	273	1.62	L09	sample	sample	1308763	1241156	1547395	NA	NA	1308763	1365771.33333333	0.651	0.661	0.8	NA	NA	0.894	0.893	0.938	NA	NA	2	Disulfiram	1.25	AKTi VIII	1.25	Disulfiram_1.25_AKTi VIII_1.25
1	94	1.6	D22	sample	sample	974151	929574	777802	1183813	1657117	974151	1104491.4	0.659	0.577	0.467	0.936	0.826	0.903	0.878	0.834	1.02	0.95	1	Disulfiram	10	U0126	10	Disulfiram_10_U0126_10
2	6	1.58	A06	sample	sample	1479066	1342871	1296431	NA	NA	1342871	1372789.33333333	0.735	0.715	0.67	NA	NA	0.92	0.909	0.9	NA	NA	2	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	5	1.55	A05	sample	sample	1379525	1390949	1363748	NA	NA	1379525	1378074	0.686	0.741	0.705	NA	NA	0.905	0.917	0.911	NA	NA	2	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	308	1.52	M20	sample	sample	933296	975734	1179665	982527	1309086	982527	1076061.6	0.632	0.605	0.709	0.777	0.653	0.895	0.888	0.92	0.981	0.903	1	Disulfiram	5	WORT	5	Disulfiram_5_WORT_5
1	79	1.51	D07	sample	sample	908967	842276	1136075	1268498	1479708	1136075	1127104.8	0.615	0.522	0.683	1	0.738	0.889	0.858	0.912	1.035	0.927	1	Disulfiram	2.5	U0126	2.5	Disulfiram_2.5_U0126_2.5
2	243	1.51	K03	sample	sample	1635063	1224773	1356705	NA	NA	1356705	1405513.66666667	0.813	0.652	0.701	NA	NA	0.941	0.89	0.91	NA	NA	2	Disulfiram	10	MK2206	10	Disulfiram_10_MK2206_10
1	24	1.5	A24	sample	sample	1064995	1099050	1040278	960186	1183806	1064995	1069663	0.721	0.682	0.625	0.759	0.59	0.922	0.912	0.894	0.976	0.882	1	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	236	1.5	J20	sample	sample	1506012	1110588	1647105	NA	NA	1506012	1421235	0.749	0.592	0.851	NA	NA	0.924	0.869	0.951	NA	NA	2	Disulfiram	5	DMSO	0	Disulfiram_5_DMSO_5
2	48	1.46	B24	sample	sample	1464838	1378561	1381243	NA	NA	1381243	1408214	0.728	0.734	0.714	NA	NA	0.918	0.915	0.914	NA	NA	2	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	219	1.45	J03	sample	sample	1449229	1458165	1323403	NA	NA	1449229	1410265.66666667	0.72	0.777	0.684	NA	NA	0.916	0.927	0.905	NA	NA	2	Disulfiram	10	DMSO	0	Disulfiram_10_DMSO_10
2	19	1.44	A19	sample	sample	1542509	1335207	1379172	NA	NA	1379172	1418962.66666667	0.767	0.711	0.713	NA	NA	0.929	0.908	0.913	NA	NA	2	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	10	1.37	A10	sample	sample	1483850	1419643	1408016	NA	NA	1419643	1437169.66666667	0.738	0.756	0.728	NA	NA	0.921	0.921	0.918	NA	NA	2	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	44	1.33	B20	sample	sample	1550391	1393548	1412617	NA	NA	1412617	1452185.33333333	0.771	0.742	0.73	NA	NA	0.93	0.917	0.919	NA	NA	2	Bendamustine	5	DMSO	0	Bendamustine_5_DMSO_5
2	238	1.32	J22	sample	sample	1756971	1194572	1476805	NA	NA	1476805	1476116	0.873	0.636	0.763	NA	NA	0.956	0.885	0.928	NA	NA	2	Disulfiram	10	DMSO	0	Disulfiram_10_DMSO_10
2	8	1.3	A08	sample	sample	1530027	1454513	1402380	NA	NA	1454513	1462306.66666667	0.76	0.775	0.725	NA	NA	0.927	0.926	0.917	NA	NA	2	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	2	1.29	A02	sample	sample	1371827	1534828	1488352	NA	NA	1488352	1465002.33333333	0.682	0.818	0.769	NA	NA	0.904	0.938	0.93	NA	NA	2	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	5	1.24	A05	sample	sample	1067802	1271044	1246366	661898	1321299	1246366	1113681.8	0.723	0.788	0.749	0.523	0.659	0.922	0.942	0.931	0.897	0.905	1	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	9	1.23	A09	sample	sample	1529154	1487057	1436590	NA	NA	1487057	1484267	0.76	0.792	0.742	NA	NA	0.927	0.931	0.922	NA	NA	2	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	6	1.22	A06	sample	sample	1117203	1261122	1197261	619053	1398382	1197261	1118604.2	0.756	0.782	0.719	0.489	0.697	0.931	0.94	0.923	0.883	0.916	1	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	75	1.21	D03	sample	sample	1180722	949740	940534	1541429	1598983	1180722	1242281.6	0.799	0.589	0.565	1.22	0.797	0.943	0.882	0.873	1.076	0.943	1	Disulfiram	10	U0126	10	Disulfiram_10_U0126_10
1	77	1.21	D05	sample	sample	786594	1068806	1148473	1838083	1637559	1148473	1295903	0.532	0.663	0.69	1.45	0.816	0.86	0.906	0.914	1.113	0.948	1	Disulfiram	5	U0126	5	Disulfiram_5_U0126_5
2	245	1.21	K05	sample	sample	1540458	1523592	1412437	NA	NA	1523592	1492162.33333333	0.766	0.812	0.73	NA	NA	0.929	0.936	0.919	NA	NA	2	Disulfiram	5	MK2206	5	Disulfiram_5_MK2206_5
2	99	1.2	E03	sample	sample	1394096	1457589	1643774	NA	NA	1457589	1498486.33333333	0.693	0.776	0.85	NA	NA	0.908	0.927	0.951	NA	NA	2	Bendamustine	10	PD	10	Bendamustine_10_PD_10
2	16	1.2	A16	sample	sample	1624170	1405648	1467524	NA	NA	1467524	1499114	0.807	0.749	0.758	NA	NA	0.94	0.919	0.927	NA	NA	2	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	262	1.19	K22	sample	sample	1607882	1321236	1589858	NA	NA	1589858	1506325.33333333	0.799	0.704	0.822	NA	NA	0.938	0.906	0.943	NA	NA	2	Disulfiram	10	MK2206	10	Disulfiram_10_MK2206_10
2	14	1.19	A14	sample	sample	1622442	1492039	1383720	NA	NA	1492039	1499400.33333333	0.806	0.795	0.715	NA	NA	0.939	0.932	0.914	NA	NA	2	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	18	1.19	A18	sample	sample	1562369	1446205	1494336	NA	NA	1494336	1500970	0.777	0.77	0.772	NA	NA	0.932	0.925	0.93	NA	NA	2	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	2	1.18	A02	sample	sample	1161480	1183066	1272810	630090	1409474	1183066	1131384	0.786	0.734	0.765	0.498	0.703	0.939	0.927	0.935	0.887	0.918	1	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	4	1.17	A04	sample	sample	1146667	1182054	1232171	597350	1519019	1182054	1135452.2	0.776	0.733	0.74	0.472	0.757	0.937	0.927	0.929	0.876	0.933	1	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	7	1.13	A07	sample	sample	1516510	1563683	1470075	NA	NA	1516510	1516756	0.754	0.833	0.76	NA	NA	0.925	0.942	0.927	NA	NA	2	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	271	1.13	L07	sample	sample	1717994	1252413	1649060	NA	NA	1649060	1539822.33333333	0.854	0.667	0.852	NA	NA	0.951	0.895	0.951	NA	NA	2	Disulfiram	2.5	AKTi VIII	2.5	Disulfiram_2.5_AKTi VIII_2.5
1	20	1.11	A20	sample	sample	1087283	1283741	1276547	930670	1296738	1276547	1174995.8	0.736	0.796	0.767	0.736	0.646	0.926	0.944	0.936	0.969	0.901	1	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	384	1.1	P24	sample	sample	1527760	1569211	1486326	NA	NA	1527760	1527765.66666667	0.759	0.836	0.768	NA	NA	0.927	0.943	0.929	NA	NA	2	DMSO	0	DMSO	0	DMSO_24_DMSO_24
2	96	1.09	D24	sample	sample	1656177	1466895	1487423	NA	NA	1487423	1536831.66666667	0.823	0.781	0.769	NA	NA	0.944	0.928	0.929	NA	NA	2	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	15	1.06	A15	sample	sample	1622148	1476681	1535742	NA	NA	1535742	1544857	0.806	0.787	0.794	NA	NA	0.939	0.93	0.936	NA	NA	2	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	4	1.05	A04	sample	sample	1535968	1608873	1488798	NA	NA	1535968	1544546.33333333	0.763	0.857	0.769	NA	NA	0.928	0.948	0.93	NA	NA	2	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	298	1.04	M10	sample	sample	1393834	1497012	1790379	NA	NA	1497012	1560408.33333333	0.693	0.797	0.925	NA	NA	0.908	0.933	0.969	NA	NA	2	Disulfiram	0.15625	WORT	0.15625	Disulfiram_0.15625_WORT_0.15625
2	246	1.04	K06	sample	sample	1594849	1541040	1515655	NA	NA	1541040	1550514.66666667	0.793	0.821	0.783	NA	NA	0.936	0.939	0.933	NA	NA	2	Disulfiram	0.0390625	MK2206	0.0390625	Disulfiram_0.0390625_MK2206_0.0390625
2	282	1.04	L18	sample	sample	1538698	1568041	1547091	NA	NA	1547091	1551276.66666667	0.765	0.835	0.8	NA	NA	0.928	0.942	0.938	NA	NA	2	Disulfiram	2.5	AKTi VIII	2.5	Disulfiram_2.5_AKTi VIII_2.5
2	43	1.04	B19	sample	sample	1658996	1484995	1518535	NA	NA	1518535	1554175.33333333	0.825	0.791	0.785	NA	NA	0.944	0.931	0.934	NA	NA	2	Bendamustine	0.0390625	DMSO	0	Bendamustine_0.0390625_DMSO_0.0390625
2	17	1.03	A17	sample	sample	1615067	1466931	1585013	NA	NA	1585013	1555670.33333333	0.803	0.781	0.819	NA	NA	0.938	0.928	0.943	NA	NA	2	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	23	1.03	A23	sample	sample	1641411	1603197	1422686	NA	NA	1603197	1555764.66666667	0.816	0.854	0.735	NA	NA	0.942	0.947	0.92	NA	NA	2	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	3	1.03	A03	sample	sample	1201431	1379640	1294542	556832	1433151	1294542	1173119.2	0.813	0.856	0.778	0.44	0.714	0.946	0.959	0.939	0.861	0.921	1	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	339	1.02	O03	sample	sample	1203912	1150807	1200371	375683	2149452	1200371	1216045	0.815	0.714	0.721	0.297	1.07	0.947	0.922	0.923	0.778	1.003	1	AKTi VIII	10	DMSO	0	AKTi VIII_10_DMSO_10
2	3	1.01	A03	sample	sample	1578301	1573937	1529752	NA	NA	1573937	1560663.33333333	0.784	0.838	0.791	NA	NA	0.934	0.943	0.935	NA	NA	2	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	13	1	A13	sample	sample	1725050	1525313	1450194	NA	NA	1525313	1566852.33333333	0.857	0.812	0.749	NA	NA	0.952	0.936	0.924	NA	NA	2	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	10	1	A10	sample	sample	1139728	1351072	1379799	608032	1439443	1351072	1183614.8	0.771	0.838	0.829	0.481	0.717	0.936	0.955	0.952	0.88	0.922	1	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	11	0.99	A11	sample	sample	1590221	1555545	1560025	NA	NA	1560025	1568597	0.79	0.829	0.806	NA	NA	0.935	0.941	0.939	NA	NA	2	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	11	0.98	A11	sample	sample	1097697	1370705	1267183	697915	1553531	1267183	1197406.2	0.743	0.85	0.761	0.552	0.774	0.928	0.957	0.934	0.909	0.937	1	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	12	0.98	A12	sample	sample	1604090	1597036	1516114	NA	NA	1597036	1572413.33333333	0.797	0.851	0.784	NA	NA	0.937	0.946	0.933	NA	NA	2	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	40	0.97	B16	sample	sample	1681281	1495141	1557288	NA	NA	1557288	1577903.33333333	0.836	0.796	0.805	NA	NA	0.947	0.932	0.939	NA	NA	2	Bendamustine	1.25	DMSO	0	Bendamustine_1.25_DMSO_1.25
1	48	0.97	B24	sample	sample	1163659	1250264	1274960	1086479	1384256	1250264	1231923.6	0.787	0.775	0.766	0.859	0.69	0.94	0.939	0.936	1.002	0.914	1	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	8	0.96	A08	sample	sample	1289701	1263634	1290078	610131	1536627	1289701	1198034.2	0.873	0.784	0.775	0.482	0.766	0.961	0.941	0.938	0.88	0.935	1	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	26	0.94	B02	neg	neg	1626941	1631823	1497970	NA	NA	1626941	1585578	0.809	0.869	0.774	NA	NA	0.94	0.951	0.931	NA	NA	2	Bendamustine	0	DMSO	0	DMSO_0_DMSO_0
1	18	0.94	A18	sample	sample	1189941	1236448	1338215	933521	1438268	1236448	1227278.6	0.805	0.767	0.804	0.738	0.717	0.944	0.936	0.946	0.97	0.922	1	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	91	0.93	D19	sample	sample	1123247	1192846	1153323	1152385	1691746	1153323	1262709.4	0.76	0.74	0.693	0.911	0.843	0.933	0.929	0.915	1.015	0.955	1	Disulfiram	0.0390625	U0126	0.0390625	Disulfiram_0.0390625_U0126_0.0390625
1	19	0.93	A19	sample	sample	1272387	1254366	1247175	965513	1416908	1254366	1231269.8	0.861	0.778	0.749	0.763	0.706	0.958	0.939	0.931	0.977	0.919	1	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	72	0.91	C24	sample	sample	1724529	1533336	1536834	NA	NA	1536834	1598233	0.857	0.817	0.794	NA	NA	0.952	0.938	0.936	NA	NA	2	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	14	0.91	A14	sample	sample	1229155	1188332	1274737	825772	1627938	1229155	1229186.8	0.832	0.737	0.766	0.653	0.811	0.951	0.928	0.936	0.944	0.947	1	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	16	0.91	A16	sample	sample	1197576	1232974	1338736	857872	1528855	1232974	1231202.6	0.81	0.765	0.804	0.678	0.762	0.946	0.936	0.946	0.952	0.934	1	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	49	0.9	C01	sample	sample	1733702	1540482	1533401	NA	NA	1540482	1602528.33333333	0.862	0.821	0.792	NA	NA	0.953	0.939	0.936	NA	NA	2	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	42	0.9	B18	sample	sample	1552239	1563014	1691178	NA	NA	1563014	1602143.66666667	0.772	0.833	0.874	NA	NA	0.93	0.942	0.956	NA	NA	2	Bendamustine	2.5	DMSO	0	Bendamustine_2.5_DMSO_2.5
1	15	0.89	A15	sample	sample	1209635	1145402	1379680	890719	1589529	1209635	1242993	0.819	0.71	0.829	0.704	0.792	0.948	0.921	0.952	0.96	0.942	1	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	29	0.88	B05	sample	sample	1683244	1535532	1613234	NA	NA	1613234	1610670	0.837	0.818	0.834	NA	NA	0.947	0.938	0.947	NA	NA	2	Bendamustine	5	DMSO	0	Bendamustine_5_DMSO_5
2	260	0.88	K20	sample	sample	1818616	1414274	1631103	NA	NA	1631103	1621331	0.904	0.753	0.843	NA	NA	0.963	0.92	0.949	NA	NA	2	Disulfiram	5	MK2206	5	Disulfiram_5_MK2206_5
2	30	0.88	B06	sample	sample	1824276	1526233	1498996	NA	NA	1526233	1616501.66666667	0.907	0.813	0.775	NA	NA	0.964	0.937	0.931	NA	NA	2	Bendamustine	0.0390625	DMSO	0	Bendamustine_0.0390625_DMSO_0.0390625
2	22	0.87	A22	sample	sample	1622209	1560118	1658569	NA	NA	1622209	1613632	0.806	0.831	0.857	NA	NA	0.939	0.941	0.952	NA	NA	2	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	34	0.86	B10	sample	sample	1762926	1541611	1554382	NA	NA	1554382	1619639.66666667	0.876	0.821	0.803	NA	NA	0.957	0.939	0.939	NA	NA	2	Bendamustine	0.15625	DMSO	0	Bendamustine_0.15625_DMSO_0.15625
1	7	0.85	A07	sample	sample	1201570	1482773	1373444	561799	1542756	1373444	1232468.4	0.813	0.92	0.825	0.444	0.769	0.946	0.974	0.951	0.863	0.936	1	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	17	0.84	A17	sample	sample	1323364	1249725	1308563	880445	1487978	1308563	1250015	0.896	0.775	0.786	0.696	0.742	0.966	0.939	0.941	0.958	0.929	1	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	50	0.83	C02	neg	neg	1235048	1335274	1350697	567986	1718159	1335274	1241432.8	0.836	0.828	0.812	0.449	0.856	0.952	0.952	0.948	0.865	0.958	1	Bendamustine	0	DMSO	0	DMSO_0_DMSO_0
1	22	0.83	A22	sample	sample	1086823	1214705	1314702	1149804	1707468	1214705	1294700.4	0.735	0.753	0.79	0.909	0.851	0.926	0.933	0.942	1.014	0.956	1	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	12	0.83	A12	sample	sample	1206849	1260078	1407057	769030	1614189	1260078	1251440.6	0.817	0.782	0.845	0.608	0.805	0.947	0.94	0.956	0.929	0.945	1	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	36	0.82	B12	sample	sample	1601021	1678974	1605855	NA	NA	1605855	1628616.66666667	0.796	0.894	0.83	NA	NA	0.937	0.957	0.946	NA	NA	2	Bendamustine	0.3125	DMSO	0	Bendamustine_0.3125_DMSO_0.3125
1	9	0.82	A09	sample	sample	1259472	1413314	1341248	626369	1562957	1341248	1240672	0.852	0.877	0.806	0.495	0.779	0.956	0.964	0.946	0.886	0.939	1	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	32	0.81	B08	sample	sample	1698183	1588145	1624848	NA	NA	1624848	1637058.66666667	0.844	0.846	0.84	NA	NA	0.949	0.945	0.948	NA	NA	2	Bendamustine	0.078125	DMSO	0	Bendamustine_0.078125_DMSO_0.078125
1	296	0.8	M08	sample	sample	1105970	1455650	1314407	590838	1838716	1314407	1261116.2	0.748	0.903	0.79	0.467	0.917	0.929	0.97	0.942	0.873	0.971	1	Disulfiram	0.078125	WORT	0.078125	Disulfiram_0.078125_WORT_0.078125
1	115	0.78	E19	sample	sample	1000667	1211661	1340407	1092005	1951344	1211661	1319216.8	0.677	0.752	0.805	0.863	0.973	0.909	0.932	0.946	1.003	0.983	1	Disulfiram	0.0390625	PD	0.0390625	Disulfiram_0.0390625_PD_0.0390625
1	13	0.78	A13	sample	sample	1167023	1291723	1403427	802666	1688941	1291723	1270756	0.79	0.801	0.843	0.634	0.842	0.94	0.945	0.955	0.938	0.954	1	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	49	0.77	C01	sample	sample	1125820	1277120	1439499	724144	1808591	1277120	1275034.8	0.762	0.792	0.865	0.572	0.901	0.933	0.943	0.961	0.916	0.968	1	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	21	0.75	A21	sample	sample	1152200	1309585	1296639	1046150	1705264	1296639	1301967.6	0.78	0.812	0.779	0.827	0.85	0.938	0.948	0.939	0.994	0.956	1	DMSO	0	DMSO	0	DMSO_0_DMSO_0
2	286	0.74	L22	sample	sample	1508575	1776621	1705512	NA	NA	1705512	1663569.33333333	0.75	0.946	0.881	NA	NA	0.924	0.969	0.958	NA	NA	2	Disulfiram	10	AKTi VIII	10	Disulfiram_10_AKTi VIII_10
1	279	0.74	L15	sample	sample	1770843	307725	2250245	2131252	2241192	2131252	1740251.4	1.2	0.191	1.35	1.68	1.12	1.026	0.651	1.053	1.144	1.011	1	Bendamustine	0.15625	AKTi VIII	0.15625	Bendamustine_0.15625_AKTi VIII_0.15625
2	50	0.74	C02	neg	neg	1753086	1599004	1638480	NA	NA	1638480	1663523.33333333	0.871	0.852	0.847	NA	NA	0.956	0.947	0.95	NA	NA	2	Bendamustine	0	DMSO	0	DMSO_0_DMSO_0
2	295	0.74	M07	sample	sample	1748718	1616291	1626160	NA	NA	1626160	1663723	0.869	0.861	0.84	NA	NA	0.955	0.949	0.948	NA	NA	2	Disulfiram	2.5	WORT	2.5	Disulfiram_2.5_WORT_2.5
2	21	0.73	A21	sample	sample	1710411	1580935	1710675	NA	NA	1710411	1667340.33333333	0.85	0.842	0.884	NA	NA	0.951	0.944	0.959	NA	NA	2	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	72	0.73	C24	sample	sample	1119256	1334374	1320727	1240477	1638247	1320727	1330616.2	0.757	0.828	0.794	0.98	0.817	0.932	0.952	0.943	1.03	0.948	1	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	97	0.72	E01	sample	sample	1210008	1304594	1322170	854077	1798310	1304594	1297831.8	0.819	0.809	0.794	0.675	0.896	0.948	0.947	0.943	0.951	0.967	1	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	23	0.71	A23	sample	sample	1116270	1401059	1360869	1100918	1617055	1360869	1319234.2	0.755	0.869	0.818	0.87	0.806	0.931	0.962	0.949	1.005	0.945	1	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	384	0.69	P24	sample	sample	1306450	1286778	1318399	1304386	1499516	1306450	1343105.8	0.884	0.798	0.792	1.03	0.747	0.963	0.945	0.943	1.041	0.93	1	DMSO	0	DMSO	0	DMSO_24_DMSO_24
2	33	0.69	B09	sample	sample	1775934	1657396	1611912	NA	NA	1657396	1681747.33333333	0.883	0.883	0.833	NA	NA	0.958	0.954	0.946	NA	NA	2	Bendamustine	1.25	DMSO	0	Bendamustine_1.25_DMSO_1.25
2	267	0.68	L03	sample	sample	1704208	1612545	1743125	NA	NA	1704208	1686626	0.847	0.859	0.901	NA	NA	0.95	0.948	0.963	NA	NA	2	Disulfiram	10	AKTi VIII	10	Disulfiram_10_AKTi VIII_10
2	88	0.66	D16	sample	sample	1820711	1608873	1657228	NA	NA	1657228	1695604	0.905	0.857	0.856	NA	NA	0.964	0.948	0.952	NA	NA	2	Bendamustine	1.25	U0126	1.25	Bendamustine_1.25_U0126_1.25
2	28	0.64	B04	sample	sample	1748196	1657199	1690696	NA	NA	1690696	1698697	0.869	0.883	0.874	NA	NA	0.955	0.954	0.956	NA	NA	2	Bendamustine	0.01953125	DMSO	0	Bendamustine_0.01953125_DMSO_0.01953125
2	52	0.64	C04	sample	sample	1763811	1666496	1667929	NA	NA	1667929	1699412	0.877	0.888	0.862	NA	NA	0.957	0.955	0.954	NA	NA	2	Bendamustine	0.01953125	WORT	0.01953125	Bendamustine_0.01953125_WORT_0.01953125
2	223	0.63	J07	sample	sample	1567274	1657384	1901352	NA	NA	1657384	1708670	0.779	0.883	0.983	NA	NA	0.932	0.954	0.981	NA	NA	2	Disulfiram	2.5	DMSO	0	Disulfiram_2.5_DMSO_2.5
2	235	0.62	J19	sample	sample	1754555	1760284	1605415	NA	NA	1754555	1706751.33333333	0.872	0.938	0.83	NA	NA	0.956	0.967	0.946	NA	NA	2	Disulfiram	0.0390625	DMSO	0	Disulfiram_0.0390625_DMSO_0.0390625
